stream_index,expected,clean_est,trojan_est,abs_err_clean,abs_err_trojan,affected_bits,affected_percent
61,0.800418,0.8125,0.828125,0.012082000000000037,0.027707000000000037,7,0.0546875
62,0.702491,0.703125,0.6875,0.0006340000000000234,0.014990999999999977,7,0.0546875
63,1.0,1.0,1.0,0.0,0.0,7,0.0546875
64,1.0,1.0,1.0,0.0,0.0,7,0.0546875
65,1.0,1.0,1.0,0.0,0.0,7,0.0546875
66,1.0,1.0,1.0,0.0,0.0,7,0.0546875
67,1.0,1.0,1.0,0.0,0.0,7,0.0546875
68,0.662072,0.65625,0.640625,0.005821999999999994,0.021446999999999994,7,0.0546875
69,1.0,1.0,1.0,0.0,0.0,7,0.0546875
70,1.0,1.0,1.0,0.0,0.0,7,0.0546875
71,0.520022,0.515625,0.4375,0.004396999999999984,0.08252199999999998,7,0.0546875
72,0.937361,0.921875,0.9375,0.015486,0.00013900000000000023,7,0.0546875
73,0.651105,0.65625,0.671875,0.005144999999999955,0.020769999999999955,7,0.0546875
74,1.0,1.0,1.0,0.0,0.0,7,0.0546875
75,0.572464,0.578125,0.625,0.005661000000000027,0.05253600000000003,7,0.0546875
76,0.808689,0.8125,0.765625,0.003811000000000009,0.04306399999999999,7,0.0546875
77,0.700588,0.71875,0.703125,0.01816200000000001,0.0025370000000000115,7,0.0546875
78,1.0,1.0,1.0,0.0,0.0,7,0.0546875
79,1.0,1.0,1.0,0.0,0.0,7,0.0546875
80,1.0,1.0,1.0,0.0,0.0,7,0.0546875
81,0.286628,0.296875,0.34375,0.010247000000000006,0.057122000000000006,7,0.0546875
82,0.838255,0.828125,0.84375,0.010129999999999972,0.005495000000000028,7,0.0546875
83,1.0,1.0,1.0,0.0,0.0,7,0.0546875
84,0.9661280000000001,0.96875,0.984375,0.002621999999999902,0.018246999999999902,7,0.0546875
85,1.0,1.0,1.0,0.0,0.0,7,0.0546875
86,0.941731,0.9375,0.921875,0.004230999999999985,0.019855999999999985,7,0.0546875
87,0.546446,0.546875,0.65625,0.0004290000000000127,0.10980400000000001,7,0.0546875
88,1.0,1.0,1.0,0.0,0.0,7,0.0546875
89,1.0,1.0,1.0,0.0,0.0,7,0.0546875
90,1.0,1.0,1.0,0.0,0.0,7,0.0546875
91,0.841212,0.84375,0.921875,0.0025380000000000402,0.08066300000000004,7,0.0546875
92,0.732,0.734375,0.8125,0.002375000000000016,0.08050000000000002,7,0.0546875
93,1.0,1.0,1.0,0.0,0.0,7,0.0546875
94,1.0,1.0,1.0,0.0,0.0,7,0.0546875
95,0.47944200000000003,0.46875,0.578125,0.010692000000000035,0.09868299999999997,7,0.0546875
96,0.567151,0.5625,0.671875,0.004650999999999961,0.10472400000000004,7,0.0546875
97,0.806362,0.796875,0.78125,0.009487000000000023,0.025112000000000023,7,0.0546875
98,1.0,1.0,1.0,0.0,0.0,7,0.0546875
99,0.896281,0.890625,0.96875,0.005655999999999994,0.072469,7,0.0546875
100,0.9907650000000001,0.984375,0.96875,0.006390000000000118,0.022015000000000118,7,0.0546875
101,1.0,1.0,1.0,0.0,0.0,7,0.0546875
102,0.743244,0.734375,0.84375,0.008869000000000016,0.10050599999999998,7,0.0546875
103,1.0,1.0,1.0,0.0,0.0,7,0.0546875
104,0.490725,0.5,0.609375,0.009274999999999978,0.11864999999999998,7,0.0546875
105,1.0,1.0,1.0,0.0,0.0,7,0.0546875
106,1.0,1.0,1.0,0.0,0.0,7,0.0546875
107,0.994272,1.0,0.953125,0.005727999999999955,0.041147000000000045,7,0.0546875
108,1.0,1.0,1.0,0.0,0.0,7,0.0546875
109,1.0,1.0,1.0,0.0,0.0,7,0.0546875
110,1.0,1.0,0.984375,0.0,0.015625,7,0.0546875
111,1.0,1.0,1.0,0.0,0.0,7,0.0546875
112,0.260498,0.265625,0.375,0.005126999999999993,0.11450199999999999,7,0.0546875
