Run ID,Timestamp,a,b,Number of Bits,Expected Result,Stochastic Result,Percent Error (%),Absolute Error,Trojan Activation Count
5b08801a-31f0-4f1b-9a5a-592d4d1169f0,2025-10-06T19:09:07.208563,0.818942,0.59661,16384,0.48858899,0.48193359,1.3621674119181395,0.006655399999999978,505
5b08801a-31f0-4f1b-9a5a-592d4d1169f0,2025-10-06T19:09:07.208563,0.818942,0.59661,32768,0.48858899,0.4765625,2.461473804393341,0.01202649,1106
5b08801a-31f0-4f1b-9a5a-592d4d1169f0,2025-10-06T19:09:07.208563,0.818942,0.59661,65536,0.48858899,0.48005676,1.7463000957102972,0.008532229999999974,2044
5b08801a-31f0-4f1b-9a5a-592d4d1169f0,2025-10-06T19:09:07.208563,0.818942,0.59661,131072,0.48858899,0.48033142,1.6900851572607054,0.008257569999999992,4090
de0b9f06-81c6-480a-8ec4-9b7446a19b97,2025-10-06T19:09:09.734473,0.507016,0.794225,2,0.40268478,0.0,100.0,0.40268478,0
de0b9f06-81c6-480a-8ec4-9b7446a19b97,2025-10-06T19:09:09.734473,0.507016,0.794225,4,0.40268478,0.5,24.166599989202467,0.09731521999999998,0
de0b9f06-81c6-480a-8ec4-9b7446a19b97,2025-10-06T19:09:09.734473,0.507016,0.794225,8,0.40268478,0.25,37.916700005398766,0.15268478000000002,0
de0b9f06-81c6-480a-8ec4-9b7446a19b97,2025-10-06T19:09:09.734473,0.507016,0.794225,16,0.40268478,0.4375,8.645774990552157,0.03481521999999998,0
de0b9f06-81c6-480a-8ec4-9b7446a19b97,2025-10-06T19:09:09.734473,0.507016,0.794225,32,0.40268478,0.25,37.916700005398766,0.15268478000000002,1
de0b9f06-81c6-480a-8ec4-9b7446a19b97,2025-10-06T19:09:09.734473,0.507016,0.794225,64,0.40268478,0.484375,20.28639373953989,0.08169021999999998,0
de0b9f06-81c6-480a-8ec4-9b7446a19b97,2025-10-06T19:09:09.734473,0.507016,0.794225,128,0.40268478,0.3515625,12.695359382592017,0.05112228000000002,4
de0b9f06-81c6-480a-8ec4-9b7446a19b97,2025-10-06T19:09:09.734473,0.507016,0.794225,256,0.40268478,0.421875,4.765568740889581,0.01919021999999998,10
de0b9f06-81c6-480a-8ec4-9b7446a19b97,2025-10-06T19:09:09.734473,0.507016,0.794225,512,0.40268478,0.453125,12.525981240214733,0.05044021999999998,17
de0b9f06-81c6-480a-8ec4-9b7446a19b97,2025-10-06T19:09:09.734473,0.507016,0.794225,1024,0.40268478,0.4140625,2.8254656160582927,0.01137771999999998,26
de0b9f06-81c6-480a-8ec4-9b7446a19b97,2025-10-06T19:09:09.734473,0.507016,0.794225,2048,0.40268478,0.40673828,1.0066186261124612,0.004053499999999988,65
de0b9f06-81c6-480a-8ec4-9b7446a19b97,2025-10-06T19:09:09.734473,0.507016,0.794225,4096,0.40268478,0.39892578,0.9334844987188272,0.0037590000000000123,117
de0b9f06-81c6-480a-8ec4-9b7446a19b97,2025-10-06T19:09:09.734473,0.507016,0.794225,8192,0.40268478,0.39404297,2.1460483309053866,0.008641810000000028,262
